index,source,timestamp,values
15059,heart_rate,2017-07-01 21:49:04.424,"['61.0', '1']"
15060,heart_rate,2017-07-01 21:49:04.434,"['62.0', '1']"
15061,heart_rate,2017-07-01 21:49:04.437,"['61.0', '1']"
15062,heart_rate,2017-07-01 21:49:04.442,"['61.0', '2']"
15063,heart_rate,2017-07-01 21:49:04.460,"['61.0', '1']"
15064,heart_rate,2017-07-01 21:49:04.529,"['60.0', '1']"
15065,heart_rate,2017-07-01 21:49:04.540,"['58.0', '1']"
15066,heart_rate,2017-07-01 21:49:04.543,"['56.0', '1']"
15067,heart_rate,2017-07-01 21:49:04.644,"['57.0', '1']"
15068,heart_rate,2017-07-01 21:49:04.716,"['58.0', '1']"
15069,heart_rate,2017-07-01 21:49:04.872,"['57.0', '1']"
15070,heart_rate,2017-07-01 21:49:04.895,"['56.0', '1']"
15071,heart_rate,2017-07-01 21:49:05.124,"['56.0', '0']"
15091,heart_rate,2017-07-02 09:10:00.818,"['90.0', '0']"
15092,heart_rate,2017-07-02 09:10:02.006,"['90.0', '1']"
15093,heart_rate,2017-07-02 09:10:02.797,"['82.0', '1']"
15100,heart_rate,2017-07-02 09:10:03.771,"['75.0', '1']"
15101,heart_rate,2017-07-02 09:10:04.996,"['70.0', '1']"
15102,heart_rate,2017-07-02 09:10:05.766,"['67.0', '1']"
15103,heart_rate,2017-07-02 09:10:07.925,"['66.0', '1']"
15109,heart_rate,2017-07-02 09:10:08.726,"['67.0', '1']"
15110,heart_rate,2017-07-02 09:10:15.857,"['68.0', '1']"
15111,heart_rate,2017-07-02 09:10:16.846,"['70.0', '1']"
15112,heart_rate,2017-07-02 09:10:18.036,"['71.0', '1']"
15113,heart_rate,2017-07-02 09:10:18.826,"['73.0', '1']"
15114,heart_rate,2017-07-02 09:10:19.818,"['76.0', '1']"
15115,heart_rate,2017-07-02 09:10:21.825,"['77.0', '1']"
15116,heart_rate,2017-07-02 09:10:22.788,"['78.0', '1']"
15117,heart_rate,2017-07-02 09:10:23.972,"['79.0', '1']"
15118,heart_rate,2017-07-02 09:10:28.127,"['82.0', '1']"
15119,heart_rate,2017-07-02 09:10:28.919,"['83.0', '1']"
15120,heart_rate,2017-07-02 09:10:31.099,"['84.0', '1']"
15121,heart_rate,2017-07-02 09:10:32.882,"['83.0', '1']"
15122,heart_rate,2017-07-02 09:10:35.251,"['82.0', '1']"
15123,heart_rate,2017-07-02 09:10:37.034,"['83.0', '1']"
15124,heart_rate,2017-07-02 09:10:42.968,"['87.0', '1']"
15125,heart_rate,2017-07-02 09:10:44.156,"['90.0', '1']"
15126,heart_rate,2017-07-02 09:10:54.250,"['89.0', '1']"
15127,heart_rate,2017-07-02 09:10:56.060,"['91.0', '1']"
15137,heart_rate,2017-07-02 09:11:00.219,"['88.0', '1']"
15139,heart_rate,2017-07-02 09:11:01.374,"['87.0', '1']"
15140,heart_rate,2017-07-02 09:11:02.166,"['86.0', '1']"
15141,heart_rate,2017-07-02 09:11:06.121,"['85.0', '1']"
15142,heart_rate,2017-07-02 09:11:18.222,"['84.0', '1']"
15143,heart_rate,2017-07-02 09:11:19.186,"['81.0', '1']"
15144,heart_rate,2017-07-02 09:11:20.372,"['82.0', '1']"
15145,heart_rate,2017-07-02 09:11:21.558,"['81.0', '1']"
15152,heart_rate,2017-07-02 09:11:34.620,"['80.0', '1']"
15153,heart_rate,2017-07-02 09:11:39.368,"['81.0', '1']"
15155,heart_rate,2017-07-02 09:11:54.805,"['80.0', '1']"
15161,heart_rate,2017-07-02 09:11:57.778,"['75.0', '1']"
15162,heart_rate,2017-07-02 09:11:58.551,"['80.0', '1']"
15166,heart_rate,2017-07-02 09:12:02.521,"['78.0', '1']"
15167,heart_rate,2017-07-02 09:12:07.867,"['77.0', '1']"
15168,heart_rate,2017-07-02 09:12:10.835,"['76.0', '1']"
15169,heart_rate,2017-07-02 09:12:18.751,"['75.0', '1']"
15170,heart_rate,2017-07-02 09:12:20.927,"['74.0', '1']"
15171,heart_rate,2017-07-02 09:12:21.720,"['71.0', '1']"
15172,heart_rate,2017-07-02 09:12:22.710,"['70.0', '1']"
15173,heart_rate,2017-07-02 09:12:52.989,"['71.0', '1']"
15183,heart_rate,2017-07-02 09:13:08.026,"['72.0', '1']"
15184,heart_rate,2017-07-02 09:13:51.366,"['73.0', '1']"
15185,heart_rate,2017-07-02 09:13:58.475,"['74.0', '1']"
15194,heart_rate,2017-07-02 09:14:01.458,"['76.0', '1']"
15195,heart_rate,2017-07-02 09:14:02.449,"['77.0', '1']"
15196,heart_rate,2017-07-02 09:14:08.409,"['76.0', '1']"
15197,heart_rate,2017-07-02 09:14:10.759,"['77.0', '1']"
15198,heart_rate,2017-07-02 09:14:11.551,"['76.0', '1']"
15199,heart_rate,2017-07-02 09:14:25.599,"['78.0', '1']"
15200,heart_rate,2017-07-02 09:14:27.582,"['77.0', '1']"
15201,heart_rate,2017-07-02 09:14:32.730,"['78.0', '1']"
15202,heart_rate,2017-07-02 09:14:33.919,"['79.0', '1']"
15203,heart_rate,2017-07-02 09:14:34.705,"['77.0', '1']"
15204,heart_rate,2017-07-02 09:14:35.692,"['78.0', '1']"
15205,heart_rate,2017-07-02 09:14:42.820,"['77.0', '1']"
15207,heart_rate,2017-07-02 09:14:53.742,"['80.0', '1']"
15208,heart_rate,2017-07-02 09:14:54.706,"['79.0', '1']"
15216,heart_rate,2017-07-02 09:15:11.907,"['72.0', '1']"
15217,heart_rate,2017-07-02 09:15:13.887,"['71.0', '1']"
15218,heart_rate,2017-07-02 09:15:33.282,"['72.0', '1']"
15219,heart_rate,2017-07-02 09:15:35.062,"['74.0', '1']"
15228,heart_rate,2017-07-02 09:16:14.445,"['74.0', '0']"
