,Unnamed: 0.1,Unnamed: 0,index,activity_type,duration,from,to,comment,date,time
85,86,61,2,Cooking,00:35,2017-07-07 14:28:00,2017-07-07 15:03:00,,2017-07-07,14:28:00
86,87,60,1,Eat,00:16,2017-07-07 15:56:00,2017-07-07 16:12:00,,2017-07-07,15:56:00
87,88,59,0,Walk,00:19,2017-07-07 17:49:00,2017-07-07 18:09:00,,2017-07-07,17:49:00
88,89,71,9,Movie,00:48,2017-07-08 11:27:00,2017-07-08 12:16:00,,2017-07-08,11:27:00
89,90,70,8,Eat,00:16,2017-07-08 12:22:00,2017-07-08 12:39:00,,2017-07-08,12:22:00
90,91,69,7,Video games,00:21,2017-07-08 13:01:00,2017-07-08 13:22:00,,2017-07-08,13:01:00
91,92,68,6,Movie,00:57,2017-07-08 13:26:00,2017-07-08 14:24:00,,2017-07-08,13:26:00
92,93,67,5,Pause,00:30,2017-07-08 14:28:00,2017-07-08 14:58:00,,2017-07-08,14:28:00
93,94,66,4,In computer,03:13,2017-07-08 15:07:00,2017-07-08 18:21:00,,2017-07-08,15:07:00
94,95,64,2,In computer,01:17,2017-07-08 19:01:00,2017-07-08 20:19:00,,2017-07-08,19:01:00
95,96,65,3,Eat,00:35,2017-07-08 19:01:00,2017-07-08 19:36:00,,2017-07-08,19:01:00
96,97,63,1,In bus,00:05,2017-07-08 20:52:00,2017-07-08 20:57:00,,2017-07-08,20:52:00
97,98,62,0,In bus,00:05,2017-07-08 22:29:00,2017-07-08 22:34:00,,2017-07-08,22:29:00
98,99,75,3,In vehicle,00:12,2017-07-09 09:24:00,2017-07-09 09:36:00,Approximately,2017-07-09,09:24:00
99,100,74,2,Football,02:35,2017-07-09 09:50:00,2017-07-09 12:25:00,Approximately,2017-07-09,09:50:00
100,101,73,1,Pause,04:15,2017-07-09 12:53:00,2017-07-09 17:08:00,,2017-07-09,12:53:00
101,102,97,21,In bus,00:08,2017-07-10 12:28:00,2017-07-10 12:36:00,,2017-07-10,12:28:00
102,103,96,20,Walk,00:02,2017-07-10 12:36:00,2017-07-10 12:38:00,,2017-07-10,12:36:00
103,104,95,19,Train,00:17,2017-07-10 12:47:00,2017-07-10 13:04:00,,2017-07-10,12:47:00
104,105,94,18,Walk,00:06,2017-07-10 13:05:00,2017-07-10 13:12:00,,2017-07-10,13:05:00
105,106,93,17,Meeting,00:31,2017-07-10 13:28:00,2017-07-10 13:59:00,,2017-07-10,13:28:00
106,107,92,16,In computer,00:57,2017-07-10 14:01:00,2017-07-10 14:59:00,,2017-07-10,14:01:00
