,index,source,timestamp,values,activity
51261,127649,heart_rate,45:39.1,"['64.0', '1']",In computer
51262,127650,heart_rate,45:39.4,"['64.0', '0']",In computer
51263,127651,heart_rate,45:39.5,"['66.0', '1']",In computer
51264,127652,heart_rate,45:39.5,"['65.0', '1']",In computer
51265,127653,heart_rate,45:39.5,"['64.0', '1']",In computer
51266,127654,heart_rate,45:39.6,"['62.0', '1']",In computer
51267,127655,heart_rate,45:39.6,"['62.0', '2']",In computer
51268,127656,heart_rate,45:39.6,"['62.0', '1']",In computer
51269,127657,heart_rate,45:39.7,"['61.0', '1']",In computer
51270,127658,heart_rate,45:39.9,"['64.0', '1']",In computer
51271,127659,heart_rate,45:39.9,"['65.0', '1']",In computer
51272,127660,heart_rate,45:39.9,"['66.0', '1']",In computer
51273,127661,heart_rate,45:39.9,"['67.0', '1']",In computer
51274,127668,heart_rate,45:52.0,"['66.0', '1']",In computer
51275,127669,heart_rate,45:52.8,"['67.0', '1']",In computer
51276,127670,heart_rate,45:54.9,"['68.0', '1']",In computer
51277,127675,heart_rate,48:05.5,"['67.0', '1']",In computer
51278,127676,heart_rate,48:05.5,"['68.0', '1']",In computer
51279,127677,heart_rate,48:05.5,"['67.0', '1']",In computer
51280,127678,heart_rate,48:05.9,"['66.0', '1']",In computer
51281,127679,heart_rate,48:06.1,"['67.0', '1']",In computer
51282,127680,heart_rate,48:06.1,"['68.0', '1']",In computer
51283,127681,heart_rate,48:06.1,"['70.0', '1']",In computer
51284,127682,heart_rate,48:06.1,"['71.0', '1']",In computer
51285,127683,heart_rate,48:06.1,"['70.0', '3']",In computer
51286,127684,heart_rate,48:06.3,"['71.0', '3']",In computer
51287,127685,heart_rate,48:06.3,"['70.0', '3']",In computer
51288,127686,heart_rate,48:06.3,"['70.0', '2']",In computer
51289,127687,heart_rate,48:06.3,"['71.0', '2']",In computer
51290,127688,heart_rate,48:06.5,"['71.0', '1']",In computer
51291,127689,heart_rate,48:06.7,"['70.0', '1']",In computer
51292,127690,heart_rate,48:06.7,"['71.0', '1']",In computer
51293,127691,heart_rate,48:06.7,"['70.0', '1']",In computer
51294,127692,heart_rate,48:06.9,"['69.0', '1']",In computer
51295,127693,heart_rate,48:06.9,"['67.0', '1']",In computer
51296,127694,heart_rate,48:06.9,"['66.0', '1']",In computer
51297,127695,heart_rate,48:06.9,"['60.0', '1']",In computer
51298,127696,heart_rate,48:07.1,"['58.0', '1']",In computer
51299,127697,heart_rate,48:07.1,"['59.0', '1']",In computer
51300,127698,heart_rate,48:07.1,"['61.0', '1']",In computer
51301,127699,heart_rate,48:07.1,"['62.0', '1']",In computer
51302,127700,heart_rate,48:07.1,"['63.0', '1']",In computer
51303,127701,heart_rate,48:07.1,"['65.0', '1']",In computer
51304,127702,heart_rate,48:07.1,"['64.0', '1']",In computer
51305,127703,heart_rate,48:07.1,"['65.0', '1']",In computer
51306,127704,heart_rate,48:07.3,"['66.0', '1']",In computer
51307,127705,heart_rate,48:07.3,"['66.0', '3']",In computer
51308,127706,heart_rate,48:07.3,"['65.0', '2']",In computer
51309,127707,heart_rate,48:07.3,"['66.0', '1']",In computer
51310,127708,heart_rate,48:07.3,"['62.0', '1']",In computer
51311,127709,heart_rate,48:07.3,"['60.0', '1']",In computer
51312,127710,heart_rate,48:07.5,"['59.0', '1']",In computer
51313,127711,heart_rate,48:07.5,"['58.0', '1']",In computer
51314,127712,heart_rate,48:07.5,"['59.0', '1']",In computer
51315,127713,heart_rate,48:07.5,"['60.0', '1']",In computer
51316,127714,heart_rate,48:07.5,"['61.0', '1']",In computer
51317,127715,heart_rate,48:07.5,"['59.0', '1']",In computer
51318,127716,heart_rate,48:07.7,"['61.0', '1']",In computer
51319,127717,heart_rate,48:07.7,"['60.0', '1']",In computer
51320,127718,heart_rate,48:07.7,"['61.0', '3']",In computer
51321,127719,heart_rate,48:07.9,"['62.0', '3']",In computer
51322,127720,heart_rate,48:07.9,"['62.0', '1']",In computer
51323,127721,heart_rate,48:07.9,"['61.0', '1']",In computer
51324,127722,heart_rate,48:07.9,"['62.0', '1']",In computer
51325,127723,heart_rate,48:07.9,"['65.0', '1']",In computer
51326,127724,heart_rate,48:07.9,"['66.0', '1']",In computer
51327,127725,heart_rate,48:09.9,"['69.0', '3']",In computer
51328,127726,heart_rate,48:11.8,"['70.0', '3']",In computer
51329,127727,heart_rate,48:12.8,"['69.0', '3']",In computer
51330,127728,heart_rate,48:14.8,"['67.0', '3']",In computer
51331,127729,heart_rate,48:15.8,"['66.0', '3']",In computer
51332,127730,heart_rate,48:20.0,"['64.0', '3']",In computer
51333,127731,heart_rate,48:21.9,"['66.0', '3']",In computer
51334,127732,heart_rate,48:22.9,"['64.0', '3']",In computer
51335,127733,heart_rate,48:24.9,"['65.0', '3']",In computer
51336,127734,heart_rate,48:25.9,"['64.0', '3']",In computer
51337,127735,heart_rate,48:26.9,"['66.0', '3']",In computer
51338,127736,heart_rate,48:27.9,"['64.0', '3']",In computer
51339,127737,heart_rate,48:28.9,"['66.0', '3']",In computer
51340,127738,heart_rate,48:29.9,"['64.0', '3']",In computer
51341,127739,heart_rate,48:30.8,"['66.0', '3']",In computer
51342,127740,heart_rate,48:32.0,"['64.0', '3']",In computer
51343,127741,heart_rate,48:33.0,"['66.0', '3']",In computer
51344,127742,heart_rate,48:34.0,"['65.0', '3']",In computer
51345,127744,heart_rate,48:36.0,"['63.0', '3']",In computer
51346,127745,heart_rate,48:38.0,"['63.0', '2']",In computer
51347,127746,heart_rate,48:40.0,"['63.0', '1']",In computer
51348,127747,heart_rate,48:54.1,"['62.0', '1']",In computer
51349,127748,heart_rate,48:59.1,"['66.0', '1']",In computer
51350,127755,heart_rate,49:00.2,"['68.0', '1']",In computer
51351,127756,heart_rate,49:01.2,"['69.0', '1']",In computer
51352,127757,heart_rate,49:02.2,"['71.0', '1']",In computer
51353,127758,heart_rate,49:03.2,"['72.0', '2']",In computer
51354,127759,heart_rate,49:05.2,"['73.0', '2']",In computer
51355,127760,heart_rate,49:06.2,"['74.0', '2']",In computer
51356,127761,heart_rate,49:08.2,"['74.0', '1']",In computer
51357,127762,heart_rate,49:11.3,"['71.0', '1']",In computer
51358,127763,heart_rate,49:13.4,"['70.0', '1']",In computer
51359,127764,heart_rate,49:18.4,"['70.0', '3']",In computer
51360,127765,heart_rate,49:20.4,"['69.0', '2']",In computer
51361,127766,heart_rate,49:21.4,"['67.0', '2']",In computer
51362,127768,heart_rate,49:22.3,"['65.0', '3']",In computer
51363,127769,heart_rate,49:23.4,"['64.0', '3']",In computer
51364,127770,heart_rate,49:24.3,"['63.0', '3']",In computer
51365,127771,heart_rate,49:26.5,"['64.0', '3']",In computer
51366,127772,heart_rate,49:27.4,"['66.0', '3']",In computer
51367,127773,heart_rate,49:28.6,"['65.0', '3']",In computer
51368,127774,heart_rate,49:30.5,"['66.0', '3']",In computer
51369,127775,heart_rate,49:34.6,"['67.0', '1']",In computer
51370,127776,heart_rate,49:43.6,"['69.0', '1']",In computer
51371,127777,heart_rate,49:44.7,"['71.0', '1']",In computer
51372,127778,heart_rate,49:55.8,"['71.0', '3']",In computer
51373,127780,heart_rate,49:56.8,"['70.0', '3']",In computer
51374,127781,heart_rate,49:57.8,"['71.0', '3']",In computer
51375,127787,heart_rate,49:58.8,"['70.0', '3']",In computer
51376,127788,heart_rate,49:59.8,"['71.0', '3']",In computer
51377,127789,heart_rate,50:01.8,"['74.0', '3']",In computer
51378,127790,heart_rate,50:03.8,"['74.0', '1']",In computer
51379,127791,heart_rate,50:05.9,"['72.0', '1']",In computer
51380,127792,heart_rate,50:08.9,"['71.0', '1']",In computer
51381,127793,heart_rate,50:10.9,"['72.0', '1']",In computer
51382,127794,heart_rate,50:11.9,"['73.0', '1']",In computer
51383,127795,heart_rate,50:13.9,"['73.0', '2']",In computer
51384,127796,heart_rate,50:17.1,"['70.0', '2']",In computer
51385,127798,heart_rate,50:18.0,"['68.0', '2']",In computer
51386,127799,heart_rate,50:19.0,"['67.0', '3']",In computer
51387,127800,heart_rate,50:20.0,"['66.0', '3']",In computer
51388,127801,heart_rate,50:22.0,"['65.0', '3']",In computer
51389,127802,heart_rate,50:23.1,"['66.0', '3']",In computer
